Type,Group,SgPic,PlPic,Sg,Pl,opt1,opt2,opt3,opt4,opt5,opt6,opt7,opt8,ItemID,Ask for singular or plural?,objects,SgPicZip,PlPicZip
Training & Test,2,https://lh3.googleusercontent.com/u/0/d/1APbyh7hVZqWtIttn1NwGR0Daulb5xM9g=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1pNmhfOCe022JvC3m29KLH1jPe7uRWYWp=s3200-k-iv1,gutib,gutod,gutav,gutek,gutib,gutod,gutug,gutal,gutit,gutup,5,Singular,cans,One can.jpg,Two cans.jpg
Training & Test,3,https://lh3.googleusercontent.com/u/0/d/1APbyh7hVZqWtIttn1NwGR0Daulb5xM9g=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1pNmhfOCe022JvC3m29KLH1jPe7uRWYWp=s3200-k-iv1,gutav,gutod,gutav,gutek,gutib,gutod,gutug,gutal,gutit,gutup,5,Singular,cans,One can.jpg,Two cans.jpg
Training & Test,4,https://lh3.googleusercontent.com/u/0/d/1APbyh7hVZqWtIttn1NwGR0Daulb5xM9g=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1pNmhfOCe022JvC3m29KLH1jPe7uRWYWp=s3200-k-iv1,gutav,gutek,gutav,gutek,gutib,gutod,gutug,gutal,gutit,gutup,5,Singular,cans,One can.jpg,Two cans.jpg
Training & Test,5,https://lh3.googleusercontent.com/u/0/d/1APbyh7hVZqWtIttn1NwGR0Daulb5xM9g=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1pNmhfOCe022JvC3m29KLH1jPe7uRWYWp=s3200-k-iv1,gutug,gutal,gutav,gutek,gutib,gutod,gutug,gutal,gutit,gutup,5,Singular,cans,One can.jpg,Two cans.jpg
Training & Test,6,https://lh3.googleusercontent.com/u/0/d/1APbyh7hVZqWtIttn1NwGR0Daulb5xM9g=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1pNmhfOCe022JvC3m29KLH1jPe7uRWYWp=s3200-k-iv1,gutav,gutek,gutav,gutek,gutib,gutod,gutug,gutal,gutit,gutup,5,Singular,cans,One can.jpg,Two cans.jpg
Training & Test,1,https://lh3.googleusercontent.com/u/0/d/1Hge-hE82ee_JChO34UBT-9_dvE4XabCK=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1tYhJgwZ6wK0kW4vZhXurW9EET5WW2xK3=s3200-k-iv1,savib,savod,savav,savek,savib,savod,savug,saval,savit,savup,6,Singular,casettes,One casette.jpg,Two casettes.jpg
Training & Test,2,https://lh3.googleusercontent.com/u/0/d/1Hge-hE82ee_JChO34UBT-9_dvE4XabCK=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1tYhJgwZ6wK0kW4vZhXurW9EET5WW2xK3=s3200-k-iv1,savav,savod,savav,savek,savib,savod,savug,saval,savit,savup,6,Singular,casettes,One casette.jpg,Two casettes.jpg
Training & Test,3,https://lh3.googleusercontent.com/u/0/d/1Hge-hE82ee_JChO34UBT-9_dvE4XabCK=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1tYhJgwZ6wK0kW4vZhXurW9EET5WW2xK3=s3200-k-iv1,savav,savek,savav,savek,savib,savod,savug,saval,savit,savup,6,Singular,casettes,One casette.jpg,Two casettes.jpg
Training & Test,4,https://lh3.googleusercontent.com/u/0/d/1Hge-hE82ee_JChO34UBT-9_dvE4XabCK=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1tYhJgwZ6wK0kW4vZhXurW9EET5WW2xK3=s3200-k-iv1,savug,saval,savav,savek,savib,savod,savug,saval,savit,savup,6,Singular,casettes,One casette.jpg,Two casettes.jpg
Training & Test,5,https://lh3.googleusercontent.com/u/0/d/1Hge-hE82ee_JChO34UBT-9_dvE4XabCK=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1tYhJgwZ6wK0kW4vZhXurW9EET5WW2xK3=s3200-k-iv1,savav,savek,savav,savek,savib,savod,savug,saval,savit,savup,6,Singular,casettes,One casette.jpg,Two casettes.jpg
Training & Test,6,https://lh3.googleusercontent.com/u/0/d/1Hge-hE82ee_JChO34UBT-9_dvE4XabCK=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1tYhJgwZ6wK0kW4vZhXurW9EET5WW2xK3=s3200-k-iv1,savit,savup,savav,savek,savib,savod,savug,saval,savit,savup,6,Singular,casettes,One casette.jpg,Two casettes.jpg
Training & Test,1,https://lh3.googleusercontent.com/u/0/d/1-um4xxtvq-pNC793_vctm28O07w0fpy1=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1mHqr72UDbtbjj--W-0_0j9czziuNFLgX=s3200-k-iv1,yezav,yezek,yezav,yezek,yezib,yezod,yezug,yezal,yezit,yezup,7,Singular,chairs,One chair.jpg,Two chairs.jpg
Training & Test,2,https://lh3.googleusercontent.com/u/0/d/1-um4xxtvq-pNC793_vctm28O07w0fpy1=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1mHqr72UDbtbjj--W-0_0j9czziuNFLgX=s3200-k-iv1,yezav,yezek,yezav,yezek,yezib,yezod,yezug,yezal,yezit,yezup,7,Singular,chairs,One chair.jpg,Two chairs.jpg
Training & Test,3,https://lh3.googleusercontent.com/u/0/d/1-um4xxtvq-pNC793_vctm28O07w0fpy1=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1mHqr72UDbtbjj--W-0_0j9czziuNFLgX=s3200-k-iv1,yezav,yezod,yezav,yezek,yezib,yezod,yezug,yezal,yezit,yezup,7,Singular,chairs,One chair.jpg,Two chairs.jpg
Training & Test,4,https://lh3.googleusercontent.com/u/0/d/1-um4xxtvq-pNC793_vctm28O07w0fpy1=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1mHqr72UDbtbjj--W-0_0j9czziuNFLgX=s3200-k-iv1,yezav,yezek,yezav,yezek,yezib,yezod,yezug,yezal,yezit,yezup,7,Singular,chairs,One chair.jpg,Two chairs.jpg
Training & Test,5,https://lh3.googleusercontent.com/u/0/d/1-um4xxtvq-pNC793_vctm28O07w0fpy1=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1mHqr72UDbtbjj--W-0_0j9czziuNFLgX=s3200-k-iv1,yezav,yezek,yezav,yezek,yezib,yezod,yezug,yezal,yezit,yezup,7,Singular,chairs,One chair.jpg,Two chairs.jpg
Training & Test,6,https://lh3.googleusercontent.com/u/0/d/1-um4xxtvq-pNC793_vctm28O07w0fpy1=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1mHqr72UDbtbjj--W-0_0j9czziuNFLgX=s3200-k-iv1,yezit,yezup,yezav,yezek,yezib,yezod,yezug,yezal,yezit,yezup,7,Singular,chairs,One chair.jpg,Two chairs.jpg
Training & Test,1,https://lh3.googleusercontent.com/u/0/d/1mkva0s5Z81FrpngCVw34a_gHqfmLmsQc=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1qVXZUNIJ2IjYOqU1CBXu4jeUlzEl6AYj=s3200-k-iv1,tigib,tigod,tigav,tigek,tigib,tigod,tigug,tigal,tigit,tigup,8,Singular,clocks,One clock.jpg,Two clocks.jpg
Training & Test,2,https://lh3.googleusercontent.com/u/0/d/1mkva0s5Z81FrpngCVw34a_gHqfmLmsQc=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1qVXZUNIJ2IjYOqU1CBXu4jeUlzEl6AYj=s3200-k-iv1,tigav,tigod,tigav,tigek,tigib,tigod,tigug,tigal,tigit,tigup,8,Singular,clocks,One clock.jpg,Two clocks.jpg
Training & Test,3,https://lh3.googleusercontent.com/u/0/d/1mkva0s5Z81FrpngCVw34a_gHqfmLmsQc=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1qVXZUNIJ2IjYOqU1CBXu4jeUlzEl6AYj=s3200-k-iv1,tigib,tigod,tigav,tigek,tigib,tigod,tigug,tigal,tigit,tigup,8,Singular,clocks,One clock.jpg,Two clocks.jpg
Training & Test,4,https://lh3.googleusercontent.com/u/0/d/1mkva0s5Z81FrpngCVw34a_gHqfmLmsQc=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1qVXZUNIJ2IjYOqU1CBXu4jeUlzEl6AYj=s3200-k-iv1,tigug,tigal,tigav,tigek,tigib,tigod,tigug,tigal,tigit,tigup,8,Singular,clocks,One clock.jpg,Two clocks.jpg
Training & Test,5,https://lh3.googleusercontent.com/u/0/d/1mkva0s5Z81FrpngCVw34a_gHqfmLmsQc=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1qVXZUNIJ2IjYOqU1CBXu4jeUlzEl6AYj=s3200-k-iv1,tigav,tigek,tigav,tigek,tigib,tigod,tigug,tigal,tigit,tigup,8,Singular,clocks,One clock.jpg,Two clocks.jpg
Training & Test,6,https://lh3.googleusercontent.com/u/0/d/1mkva0s5Z81FrpngCVw34a_gHqfmLmsQc=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1qVXZUNIJ2IjYOqU1CBXu4jeUlzEl6AYj=s3200-k-iv1,tigav,tigek,tigav,tigek,tigib,tigod,tigug,tigal,tigit,tigup,8,Singular,clocks,One clock.jpg,Two clocks.jpg
Training & Test,1,https://lh3.googleusercontent.com/u/0/d/1XrBQmhPsvirm0f8xzCMPynm-3ueOcxJi=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1c-QuUwGebqYycv8QdcXZe1xdffDPxymx=s3200-k-iv1,ronib,ronod,ronav,ronek,ronib,ronod,ronug,ronal,ronit,ronup,9,Singular,computers,One computer.jpg,Two computers.jpg
Training & Test,2,https://lh3.googleusercontent.com/u/0/d/1XrBQmhPsvirm0f8xzCMPynm-3ueOcxJi=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1c-QuUwGebqYycv8QdcXZe1xdffDPxymx=s3200-k-iv1,ronav,ronek,ronav,ronek,ronib,ronod,ronug,ronal,ronit,ronup,9,Singular,computers,One computer.jpg,Two computers.jpg
Training & Test,3,https://lh3.googleusercontent.com/u/0/d/1XrBQmhPsvirm0f8xzCMPynm-3ueOcxJi=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1c-QuUwGebqYycv8QdcXZe1xdffDPxymx=s3200-k-iv1,ronib,ronek,ronav,ronek,ronib,ronod,ronug,ronal,ronit,ronup,9,Singular,computers,One computer.jpg,Two computers.jpg
Training & Test,4,https://lh3.googleusercontent.com/u/0/d/1XrBQmhPsvirm0f8xzCMPynm-3ueOcxJi=s3200-k-iv1,https://lh3.googleusercontent.com/u/0/d/1c-QuUwGebqYycv8QdcXZe1xdffDPxymx=s3200-k-iv1,ronug,ronal,ronav,ronek,ronib,ronod,ronug,ronal,ronit,ronup,9,Singular,computers,One computer.jpg,Two computers.jpg
